Time (s),Temp (°C),Error,Control Input
139.0000,16.9654,8.0346,6.4277
140.0000,16.9478,8.0522,6.4417
141.0000,16.9303,8.0697,6.4557
142.0000,16.9129,8.0871,6.4697
143.0000,16.8955,8.1045,6.4836
144.0000,16.8781,8.1219,6.4975
145.0000,16.8608,8.1392,6.5113
146.0000,16.8436,8.1564,6.5251
147.0000,16.8264,8.1736,6.5389
148.0000,16.8092,8.1908,6.5526
149.0000,16.7921,8.2079,6.5663
150.0000,16.7751,8.2249,6.5799
151.0000,16.7581,8.2419,6.5935
152.0000,16.7412,8.2588,6.6071
153.0000,16.7243,8.2757,6.6206
154.0000,16.7074,8.2926,6.6341
155.0000,16.6906,8.3094,6.6475
156.0000,16.6739,8.3261,6.6609
157.0000,16.6572,8.3428,6.6742
158.0000,16.6406,8.3594,6.6875
159.0000,16.6240,8.3760,6.7008
160.0000,16.6074,8.3926,6.7140
161.0000,16.5910,8.4090,6.7272
162.0000,16.5745,8.4255,6.7404
163.0000,16.5581,8.4419,6.7535
164.0000,16.5418,8.4582,6.7666
165.0000,16.5255,8.4745,6.7796
166.0000,16.5092,8.4908,6.7926
167.0000,16.4931,8.5069,6.8056
168.0000,16.4769,8.5231,6.8185
169.0000,16.4608,8.5392,6.8314
170.0000,16.4448,8.5552,6.8442
171.0000,16.4288,8.5712,6.8570
172.0000,16.4128,8.5872,6.8698
173.0000,16.3969,8.6031,6.8825
174.0000,16.3810,8.6190,6.8952
175.0000,16.3652,8.6348,6.9078
176.0000,16.3495,8.6505,6.9204
177.0000,16.3338,8.6662,6.9330
178.0000,16.3181,8.6819,6.9455
179.0000,16.3025,8.6975,6.9580
180.0000,16.2869,8.7131,6.9705
181.0000,16.2714,8.7286,6.9829
182.0000,16.2559,8.7441,6.9953
183.0000,16.2405,8.7595,7.0076
184.0000,16.2251,8.7749,7.0199
185.0000,16.2097,8.7903,7.0322
186.0000,16.1944,8.8056,7.0445
187.0000,16.1792,8.8208,7.0567
188.0000,16.1640,8.8360,7.0688
189.0000,16.1488,8.8512,7.0810
190.0000,16.1337,8.8663,7.0930
191.0000,16.1186,8.8814,7.1051
192.0000,16.1036,8.8964,7.1171
193.0000,16.0886,8.9114,7.1291
194.0000,16.0737,8.9263,7.1410
195.0000,16.0588,8.9412,7.1530
